acn,reporter_function,reporter_ATC,reporter_GROUND,reporter_INSTRUCTION_EXAM,reporter_MAINT_SAFETY,reporter_OTH_CREW,reporter_OTH_UNKN,reporter_PILOT
1512033,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1512150,SINGLE PILOT,0,0,0,0,0,0,1
1512151,CAPTAIN,0,0,0,0,0,0,1
1512163,ENROUTE,1,0,0,0,0,0,0
1512443,LOCAL,0,0,0,0,0,1,0
1510787,SINGLE PILOT,0,0,0,0,0,0,1
1512437,LOCAL; SUPERVISOR / CIC,1,0,0,0,0,1,0
1512436,ENROUTE,1,0,0,0,0,0,0
1512415,LOCAL,0,0,0,0,0,1,0
1512363,SINGLE PILOT,0,0,0,0,0,0,1
1512361,CAPTAIN; SINGLE PILOT,0,0,0,0,0,0,1
1512360,SINGLE PILOT,0,0,0,0,0,0,1
1512332,PILOT NOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1512312,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1512306,PILOT NOT FLYING; FIRST OFFICER,0,0,0,0,0,0,1
1512280,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1512279,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1512275,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1512274,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1512259,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1512245,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1512224,PILOT NOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1512214,RAMP,0,1,0,0,0,0,0
1512201,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1512191,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1512188,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1512167,ENROUTE,1,0,0,0,0,0,0
1511723,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1511704,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1512149,PILOT FLYING,0,0,0,0,0,0,1
1511671,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1511274,SINGLE PILOT,0,0,0,0,0,0,1
1511273,INSTRUCTOR; PILOT FLYING,0,0,0,0,0,0,1
1511233,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1511229,PILOT NOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1511219,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1511197,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1511156,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1511152,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1511116,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1511088,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1511075,FIRST OFFICER; PILOT FLYING,0,0,0,0,0,0,1
1511057,CAPTAIN,0,0,0,0,0,0,1
1511038,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1510999,PILOT FLYING; FIRST OFFICER,0,0,0,0,0,0,1
1510957,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1510948,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1510931,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1510883,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1510847,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1510842,ENROUTE,1,0,0,0,0,0,0
1511676,PILOT NOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1510828,APPROACH,1,0,0,0,0,0,0
1510818,APPROACH,1,0,0,0,0,0,0
